,title,reviews,published_dates,user_name,user_location,user_ratings,trip_details,would_recommed_to_others
1170,"""I don’t like pasta""",  Los Angeles to London Heathrow. Very poor customer service. I checked in 3 hours prior to my flight departure asked  can I have aisle seat and she just said no. I asked her why and she replied that they don’t have any. In the plane there is no place for my bag and the staff said sorry sir we don’t have space and you can put that underneath your seat. They served dinner and said we don’t have any more chicken so you can have pasta. I told him I don’t like pasta and do you have any vegetarian food. He said the pasta is vegetarian. , 23rd December 2018,Muthu Ramar ,United States,4,"AircraftBoeing 747
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLos Angeles to London Heathrow
Date FlownDecember 2018",n
1171,"""not going to receive refund""",  Our flight from Seattle to London in November 6th was canceled due to technical problems. After waiting at the airport for 9 hours and staying in the line for 4 hours the BA associate couldn’t find us any immediate flight. They offered us a flight that would arrive in London late November 8th. It would take us 16 hours. Since the purpose of trip was to present a paper in a conference in November 8. I would have missed my presentation by the time we would arrive. My trip was supposed to be 4 days so by the time of arrival I had to return in less than two days. They advised us to cancel the flight and promised to refund our flight tickets as well as the expenses for our accommodation since it was to late to cancel our booking. I filed a claim online based on their instruction.  The customer relation phone number is disconnected. In fact the automatic voice mail says “please don’t chase a call”! The website link they refer to for tracking the claim has an auto message that the link dose not exist. After 1.5 months stressful attempt to connect with customer relations they finally responded by email to tell me that we are not going to receive any refund from them. , 23rd December 2018,A Mezati ,United States,1,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteSeattle to London
Date FlownNovember 2018",n
1172,"""so much BA could do to improve""","  Gatwick to Barbados. We flew out of Gatwick on the 6th December and back on the 17th Dec. It started well in the newish 1st Class lounge at the South terminal. However, the walk to the gate is miles. It has to be almost 1/2 mile walk which is a joke to be honest. The North terminal, where this flight used to operate from is not only a shorter walk for this flight, the decor and layout is much, much better. I'd guess BA got offered a cheaper deal to move to the S.T. My first impression was how badly the ""new"" 1st Class is holding up. There are scuff marks everywhere. Surface scratches. Bobbles of wear on the seat fabric. It's probably under 5 years of use but looks more like 10. In the WC there are small cracks in the plastic walls and brown stains. Needs a paint job at least. The motley flowers (That BA removed some years ago to save costs, but re-instated) are there. They looked like they had been pinched from a graveyard. Much has been said about the seat being ""an up market business class"" - and this is true. It is not a true 1st Class in the sense of what Emirates and Singapore Airlines offer. (I have flown both in 1st). The food is also business class quality. More casual dining rather than fine dining. Taking one meal; it starts with an Amuse Bouche. One motley round mozzarella bit of cheese. One tomato. One bit of green stuff. One straggly piece of prosciutto ham. Total cost about 30p. Outstanding! I then had prosciutto wrapped asparagus with garlic aioli and parmesan. Totally, utterly boring. My wife had the soup which she said was nice. I then had jerk Chicken dish. It was just about okay. The glassware and chinaware was okay. The cutlery was poor quality, the stuff you'd expect in Pizza Express, except the stuff in Pizza Express is better. I accept we are stuck with this 1st product for the next 30 years or so, but there is so much BA could do to improve the ""cheap"" look of their premium product. Quality of presentation, food, champagne, even the menu covers. They trumpet the ""superb"" Laurent Perrier Grand Siecle champagne, which retails at £120 a bottle. Its nice, but we all know this is inferior to what most Airline 1st Class offer in Krug. £20 a bottle more! The alternative to 1st is of course the ghastly ying-yang Club Business Class. The world's most hated Business Class in the sky. I'm a businessman and i know I could run this airline better, from a quality perspective. From a price perspective, if you bundle a 1st Flight as part of a BA holiday, it sort of works out okay-ish. The FAs as always were a very nice bunch of men and women.", 22nd December 2018,Clive Drake ,United Kingdom,6,"AircraftBoeing 777-200
Type Of TravellerCouple Leisure
Seat TypeFirst Class
RouteGatwick to Barbados
Date FlownDecember 2018",n
1173,"""Fantastic first class service""","  Moscow to London. Fantastic first class service. The Moscow lounge was surprisingly good, with excellent Runway views. Quick boarding, and I was escorted to my seat by the crew. The new First seats on the 787-9 fleet are a real upgrade from the older product. There's plenty of space, a cupboard and several little storage bins in addition to the overhead bin space. The 23 inch flatscreen IFE screen offered brilliant picture quality and the sound quality was excellent thanks to the noise cancelling headphones. The dinner menu was extensive and the food fantastic, the best airline meal I've had. Drinks were constantly topped up from boarding to arrival. The crew were very attentive and friendly with it. A fantastic experience, and I'll look forward to my next opportunity to fly in this cabin.", 19th December 2018,Alex Johnson ,United Kingdom,10,"AircraftBoeing 787-9
Type Of TravellerSolo Leisure
Seat TypeFirst Class
RouteMoscow to London
Date FlownDecember 2018",y
1174,"""I felt like a nuisance""","  Johannesburg to London . For supper I asked for warm / hot water to make milky drink as I don't drink tea or coffee for health reasons. Given with no problems. For breakfast I requested the same and I was refused. I explained I don't drink tea or coffee but milk and water."" We don't keep hot water, I can get it once we have finished serving all other customers"". That never came until the lady had to be called to take care of the unwell passenger. I kept my sugar, milk and stirring stick and asked another male cabin crew who was collecting trays after breakfast for the warm water, explaining I have been waiting. He said he will bring it in 5 seconds and he never came back. I felt like a nuisance, deliberately ignored and couldnt bother anyone and the flight started being bumpy in preparation for landing.", 19th December 2018,S Bamato ,United Kingdom,4,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteJohannesburg to London 
Date FlownDecember 2018",n
1175,"""Poor cabin staff attitude""","  Bridgetown to Gatwick. Booked our return flight in Business/Club Class (at £1,000+ each) only to find BA want to charge an extra £80 each to choose our seats.  Awful seating with their Ying/Yang seating arranged like sardines in a tin. Poor cabin staff attitude - I asked for my seat to be made up into an bed only to be told ""We only do that in First class - if we did that for you we would have to do that for everyone in the cabin and we do not have the staff for that"". I was almost asleep when I was disturbed by food/drinks being passed through the serving hatch (otherwise known as a privacy screen) to the inner seat - This happened 3 times, a sort of sleep deprivation torture. If you are expecting business class levels of service, and the ability to sleep on an overnight flight you will be sadly disappointed.", 19th December 2018,C Dawson ,United Kingdom,1,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteBridgetown to Gatwick
Date FlownDecember 2018",n
1176,"""crew were very friendly""","  Glasgow to New York via London. Morning flight from GLA to LHR was ok. I really miss the complimentary breakfast on the morning flights! We left on time and arrived in plenty of time to make our connection to JFK. On the JFK flight the service was fantastic. The meal was nice and we were offered plenty of drinks throughout the flight. We left and arrived on time. The seat and legroom was fine. My mothers IFE didn't work and she was moved seat, which she appreciated. The cabin crew were very friendly.", 18th December 2018,Gavin Morrison ,United Kingdom,8,"AircraftA319 / Boeing 777
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteGlasgow to New York via London
Date FlownDecember 2018",y
1177,"""would not recommend BA""","  Sydney to London via Singapore. I'm hugely disappointed with the Business class trip. The seating arrangements leave little to be desired, i.e. if you are on the isle you're interrupted by the cabin crew passing food through to or collecting the tray from the person sitting on the inside of you (refer to seat guru for more understanding). Service is slow and once you have your food, good luck getting rid of your tray for about 45 minutes. If you're next to the window, you need to be extremely athletic to go to the toilet as you have to climb over someone legs in order to get out of your seat. The drinks available from the bar could not be less appealing if they tried and good luck trying to get one as the cabin crew are extremely elusive. If you do get a drink, be careful leaving it unattended on your pull out tray, I had two drinks slip off the Teflon type surface and spill all over my arm and seat. Dont get me started with the in-flight entertainment or the lack of it. After I watched two movies (on a 24 hour flight) I was scratching to find anything else decent to watch. The ""new releases"" is a contradiction in terms. There is very little priority giving to Business class when boarding the plane, sure you re called first but because of the plane’s configuration you ultimately have to join the queue to board with the rest of economy. Once you locate your seat you have all of economy filing passed you to get to their seats. I would not recommend BA to anyone.", 18th December 2018,J Leeson ,Australia,2,"AircraftBoeing 777
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteSydney to London via Singapore
Date FlownDecember 2018",n
1178,"""lacked the wow factor""","  Johannesburg to London. In contrast to our excellent outbound experience, inbound lacked the wow factor. The cabin was full and dominated by a few passengers who seemed to want to demonstrate their importance. Cabin crew were adequate rather than outstanding. The dinner service was unremarkable, too, and the cheese board had shrunk in size between the two flights. My IFE touchscreen struggled to respond to finger presses and the selection of films was no different to the previous month. Sleep quality was reasonable, although the high cabin temperature made the duvet redundant. Breakfast was pretty good. Arrival was on time and we were relieved to find that our bags had made their way from a domestic Comair flight.", 17th December 2018,31 reviewsDavid Ellis ,United Kingdom,6,"AircraftA380
Type Of TravellerCouple Leisure
Seat TypeFirst Class
RouteJohannesburg to London
Date FlownDecember 2018",n
1179,"""worst business class""","  Antigua to Gatwick. One of the worst business class experience. Entertainment system didn't work and asked the crew for solution and their reply was sorry sir there is no solution. Service super slow 2-3 crew to serve 48 business class passengers. Food bad, beef over cooked, mashed potatoes dry and salad disgusting. Nobody from the crew to help us to prepare our bed. Woke up 20min before landing and offered a yogurt. ", 13th December 2018,G Terigonis ,Greece,2,"AircraftBoeing 777
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteAntigua to Gatwick
Date FlownDecember 2018",n
1180,"""First class was third rate""","  Gatwick to Barbados. First class was third rate. A disgusting cabin, crumbs on the seat, dirty carpets and finger marks over the controls - it looked as though it hadn't been properly cleaned for days. Poor service and an entertainment system from a different age. I have avoided flying with BA for the last 20 years, now I remember why. Avoid them if your route allows.", 13th December 2018,M Dyson ,United Kingdom,1,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypeFirst Class
RouteGatwick to Barbados
Date FlownDecember 2018",n
1181,"""unimpressive amenities and service""","  Cape Town to London. Very unimpressive amenities and service. Unless you have a bulkhead seat, there is no way to leave the seat without either stepping over someone or having them step over you. There is a small storage drawer but nowhere to stow even small carry-on baggage except in the bin above. The food was at best pedestrian and no wine was served with dinner except by request and then it took ages to get. My husband got no cutlery on his tray and couldn't get the attention of steward to rectify (I gave him one of the two sets on mine). I, on the other hand never got the main course. I finally went and asked and it was delivered cold and over-cooked.", 11th December 2018,M Garrett ,Canada,2,"AircraftBoeing 747-400
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteCape Town to London
Date FlownNovember 2018",n
1182,"""not giving free food and drinks""","  Bucharest to London. They are not giving free food and drinks anymore, you have to pay on short haul. In Bucharest they did not park at the terminal, they shuttle us to and from the plane in the bus. They are charging for checked luggage and ask people to check their hand luggage because 'the flights are too busy'. Avios loyalty reward points will buy you a lot less than it used to. I have no problem with BA turning into a budget airline, but at least charge accordingly, otherwise, it feels like we're being scammed.", 11th December 2018,Alexandru Albu ,United Kingdom,1,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteBucharest to London
Date FlownDecember 2018",n
1183,"""wonderful cabin crew"""," Kuala Lumpur to Mexico City via London. The journey from Malaysia to Mexico alone for business trip would be very boring. However, during my trip from London to Mexico City on 2 Dec 2018, it is quite interesting with the cabin crew facilitating me, especially associated with Muslim needs on food. They are polite and talk to me with big smiles. So, when I returned back to Malaysia and transit in London from Mexico City on 5 Dec 2018, I wished I will be able to meet them again. Hope to see this wonderful cabin crew team again in my next trip.", 10th December 2018,Fakheezah Borhan ,Malaysia,10,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteKuala Lumpur to Mexico City via London
Date FlownDecember 2018",y
1184,"""I didn’t like either choice""","  Miami to London. BA are going downhill . Having been offered chicken curry of vegetable pasta on the outward journey, the choice was exactly the same this time.  I explained to the steward that I didn’t like either choice and was it possible to have a salad or some soup from another class but I was told by an extremely rude steward that I could like it or lump it basically. He said I should have put my requests on my account but you can’t account for having the same two options every time you travel and wouldn’t expect them only to have two menus.  The snack before landing was the most disgusting bagel/bun. Totally unacceptable and as for the attitude of the staff, making a bad situation worse. The light didn’t work on my seat so I couldn’t read once the lights went off and the screen was so damaged on my TV, watching was incredibly hard. Entertainment having travelled four times in last month, films have barely changed. I won’t be travelling with them again if at all possible.", 9th December 2018,F Sewell ,United Kingdom,1,"AircraftBoeing 747-400
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteMiami to London
Date FlownDecember 2018",n
1185,"""a very enjoyable flight""
"," 
I would like to compliment British Airways and their crew for the comfort of the flight, service from the crew and the food served. Before landing we were served with an afternoon tea plate that was a credit to the catering company. Overall a very enjoyable flight from London Gatwick to Tampa.", 9th December 2018,Mary Lawless ,Ireland,10,"Type Of TravellerSolo Leisure
Seat TypePremium Economy
RouteLondon Gatwick to Tampa
Date FlownNovember 2018",y
1186,"""transformation into an overpriced EasyJet"""," Arrived at the airport to discover the flight had been delayed by several hours. During this time no clear information was available from the check-in desk (who were unable to confirm the delay) or elsewhere at the airport. Over an hour after the flight should have taken off, and after most people had purchased refreshments, an announcement was made that each passenger would be entitled to a snack from an airport cafe - however no refunds were provided for the majority of us who had already done so. No complimentary food or drink was provided on board to make up for the delay. We landed at Gatwick minutes before the last train left, meaning we then had to shell out £50 for a taxi home. Despite this, BA refused to pay any compensation as the delay was less than three hours (2 hours 55 minutes to be exact!) and took over a month to respond to my request about it. This airline has been going downhill for several years but this experience cements BA's transformation into an overpriced EasyJet. Will not fly with them again.", 9th December 2018,M Lewis ,United Kingdom,2,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteBordeaux to London Gatwick
Date FlownJuly 2018",n
1187,British Airways customer review,"  We have been loyal customers with British Airways since I was a little girl. Every summer we booked airline tickets with this company to visit my grandparents in Italy. On October 17th I booked 3 airline tickets to visit my grandparents leaving October 31st coming back November 12th as my grandfather was very sick and didn’t have much longer to live. On October 19th my grandfather passed away. We put in a cancellation/refund request because the sole purpose was to see him one last time. As British Airways did refund us for our tickets but refused to refund us $150 of our seats even though we never used their services. This has been frustrating to deal with on top of the loss of my grandfather. In addition, every employee we have spoken to on the phone had probably the worse customer service experience I’ve ever encountered.  I am beyond disappointed with this company and neither my family nor I will fly with them in the future. ", 7th December 2018,L Carini ,United States,1,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteLos Angeles to Rome via London
Date FlownOctober 2018",n
1188,"""a very enjoyable flight""","  Gatwick to Las Vegas. Boarding by group number seemed to work well at Gatwick, we took off ahead of schedule and service commenced about 45 min after take off. The crew seemed relaxed and happy and worked well as a team. BA have improved their inflight menu and it shows as the quality of the food was one of the best I’ve ever had on a long haul flight. The aircraft was old and dated and the IFE was a throwback to the 90’s with unresponsive touch screen and hard to watch quality as we all so used to HD quality these days. All in all a very enjoyable flight.", 5th December 2018,3 reviewsJames Byrne ,United Kingdom,7,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteGatwick to Las Vegas
Date FlownDecember 2018",y
1189,"""Premium Economy is a joke""","  Nassau to London. Premium Economy on BA is a joke. Highlighted by my Friday morning 7am breakfast. A glass of water and a breakfast box containing a cold, sealed in plastic, Croissant and an equally sealed Banana Bread/Cake. No hot food/drink; awful. That after a night battling with intermittent service on the seat back screen,  a screen no larger than in Economy. The only benefit for the money was early off the plane with luggage prioritised to the collection area. The extra leg room was about OK but the seat was simply uncomfortable for a 6/2 225lb male - yes large but not obese. BA Premium Economy - forget it. Other airlines do this better.", 3rd December 2018,P Downing ,United Kingdom,3,"AircraftBoeing 777
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteNassau to London
Date FlownNovember 2018",n
1190,"""gesture of professionalism""",  Phoenix to Accra via London. I had a great Customer service treatment at the check in at Phoenix by the young lady who checked me in. She was very professional and handled my check in process excellently. My entire trip was great and I really was treated very well also on my final leg to Accra by the BA staff in London as well. Just want to appreciate this gesture of professionalism by the staff., 30th November 2018,N Heane ,Ghana,9,"AircraftBoeing 747
Type Of TravellerBusiness
Seat TypeBusiness Class
RoutePhoenix to Accra via London
Date FlownNovember 2018",y
1191,"""Not exactly best of British""","  Manchester to London. The bag drop process took an hour even though I had checked in already. The staff offered little apology, explaining that there was a big group ahead and they could do nothing about this. Staff on the flight were clumsy and rude - one attendant dropped a water bottle on my shoulder and offered the merest apology. Another flight attendant didn’t bother to ask customers in the last rows if they wanted refreshments. Not exactly best of British, and I’ll certainly not be recommending!", 30th November 2018,T Marston ,United Kingdom,3,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteManchester to London
Date FlownNovember 2018",n
1192,"""miserable customer service""","  San Diego to Hannover via London. I booked on ba.com, the longer flights both ways in premium economy.  On the return I was informed at San Diego that the American Airlines flight into DFW was severely delayed and I would miss my flight into London. American Airlines could book me on a later flight the same day, but had only  coach available. If I insisted on premier economy I could fly in 3 days. I took the coach and American assured my that BA would refund the fare difference for this downgrade. After arrival at home I contacted BA on their website to refund the fare difference. A bizarre exchange followed. First they said you did not buy any upgraded seat. I told them to look at the ticket. You can't get a refund because the economy class seat was much more expensive that the booked premium economy seat. I contacted BA Germany who said you get a refund, but you booked this with a travel agent, so we are not in charge.  I booked with BA on their website. They saidthey would send this to London so they can compute the refund, but then you can't get a refund because your seat was much more expensive than the premium seat you booked months in advance. The change in booking was the sole fault of the delayed American Airlines flight. This is miserable customer service.", 28th November 2018,2 reviewsJoerg Boese ,Germany,2,"AircraftBoeing 777
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteSan Diego to Hannover via London
Date FlownNovember 2018",n
1193,"""not offered any assistance""",  London Heathrow to Stuttgart. Absolutely disgusted with BA. my husband was asked to put his one piece of hand luggage in the hold due to the flight being busy and he agreed. BA had one job to do - put it in the hold and make sure it arrives in Stuttgart. This has proven too difficult. The bag is lost and they have not offered any assistance or support., 27th November 2018,Sally Macdonald ,United Kingdom,1,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon Heathrow to Stuttgart
Date FlownNovember 2018",n
1194,"""an excellent flight""","  London to Johannesburg. Turning right to the first wing at T5 was a new experience for us. It was all pretty slick, although the guy at check-in wasn't exactly Mr Convivial. The Concorde Room was impressive, too - particularly the terrace with its quirky interior design, overlooking the main concourse. Boarding involved lining up according to group. This smacked a bit of low-cost airlines, but I guess that's necessary with all the passengers on a double-decker plane. The first cabin on the A380 is definitely more spacious than on a 747 and the 'suites' also had more room and extra storage space. The dividers seemed higher, too, giving better privacy. The fact that the cabin was only half full was another bonus. Cabin crew were friendly, attentive and thoroughly professional. Food was good, too, and demonstrated that airline food can be of restaurant quality if the cabin crew use reheating facilities properly. The wines on offer were a good selection, including the fabulous LPGS, and we enjoyed some wine tasting. Sleep quality was considerably better than Club World, although the cabin temperature was a little high. Overall, an excellent flight that fully met the brief of first class travel.", 27th November 2018,31 reviewsDavid Ellis ,United Kingdom,9,"AircraftA380
Type Of TravellerCouple Leisure
Seat TypeFirst Class
RouteLondon to Johannesburg
Date FlownNovember 2018",y
1195,"""Completely inadequate service""","  Having booked BA Business Class and paid extra for the seat selection on the Boeing 787, I was disappointed to have the flight re-scheduled. I rejected BA's offer of flying on Belgian Air and had to change my flight to get a different BA aircraft. When I booked in the window seat selections had been lost. My husband and I were forced to sit separately. At the booking in I was told that they could not find ""proof"" that I had paid for selected seats. I could not prove the payment because the booking number had changed with the new flights. Spooning with a stranger in the centre isle was not the trip I planned. On the return flight (again, sitting apart from my husband) my TV did not work. The staff could not have been nicer, but could not find an alternative seat. On return, BA customer complaints offered a £400 voucher on my next flight. Despite sending two detailed messages, I received the same response. Completely inadequate service by BA (not the flight attendants) in delivering the flights I paid for and dealing with the complaints.", 22nd November 2018,C Beale ,United Kingdom,2,"Type Of TravellerBusiness
Seat TypeBusiness Class
RouteLondon to Dubai
Date FlownNovember 2018",n
1196,"""the staff were very helpful""","  Vancouver to London Heathrow. I chose to fly with them because I had been told they were good for families and as I was traveling with my 8 month old alone this was what I needed. The booking process was not smooth and very stressful, I have to call customer service multiple times and they need to improve their customer service call center. The 2 flights were great though, the staff both on the ground and in the air were very helpful and did everything they could to ensure I was doing ok. The crew came around often with drinks and the food was ok I was first given a cot for my baby. I originally wanted a one of the Britax seats they have but was talked out it saying my baby would be more comfortable in the cot, nope! He was too big and could not lie straight so I asked for it to be switched out and he was asleep with 15 minutes. All the toilets in economy were out of order at least 3 hours before we reached our destination so everyone had to used the business class toilets, I'm sure that was annoying for the people seated there and lines were constant.", 22nd November 2018,S Kane ,Canada,7,"AircraftBoeing 747-400
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteVancouver to London Heathrow
Date FlownNovember 2018",y
1197,"""service was below standard""","  Boston to Nairobi via London. The only good thing was the new and clean looking plane for the first leg of the trip from Boston to Heathrow. The cabin crew service was below standard. I had a window seat and twice I was passed up and not offered anything to eat/drink while everyone around me was, simply because I was watching a movie. I  noticed that if you didn't have eye contact with the attendant you were not offered anything. Airplane food is not exactly gourmet but BA food was so bland even the little I ate was only because I was hungry. The connecting flight from Heathrow to Nairobi was  worse because the plane was the  opposite of the one from Boston to Heathrow. It looked beat up and lacked even the basics like a USB port. Cabin crew service on this leg was  below standard. I'm probably to blame because I overrated BA before flying with them but now I know better. ", 21st November 2018,J Masson ,United States,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteBoston to Nairobi via London
Date FlownOctober 2018",n
1198,"""space around the seat is cramped""","  Basel to San Fransisco via Heathrow. I'm convinced the quality has dropped considerably in the past several years. I booked World Traveller Plus or Premium Economy which costs appr. twice as much as economy. The flight to SFO was ok seat wise as the plane was an A380 and I has reserved an aisle seat. The food was disgusting for me, during the flight we were given a box with several pieces of junk food and shortly before landing given a piece of pizza. The choice of food leaves a lot to be desired. There were cold drinks offered regularly and you can go to the bulkhead to get extra if needed. We were offered maybe two hot drinks during the 12 hours on the plane (longer due to a delay leaving the UK). The flight back to the UK was worse since it was a Boeing 747 with the older bulkier seats. You couldn't even get to the remote control hidden in the inside of the seat and I'm not big. The recliner didn't work properly and the general space around the seat is cramped as the person next to me spilled over to my seat. I feel sorry for larger people. The food was just as bland and poor and barely any warm drinks. The staff seem challenged with certain situations. Next time I'm off to the US I will look for an alternative airline.", 20th November 2018,B Worley ,Switzerland,4,"AircraftBoeing 747
Type Of TravellerSolo Leisure
Seat TypePremium Economy
RouteBasel to San Fransisco via Heathrow
Date FlownNovember 2018",n
1199,"""forced me to check-in my suitcase""",  London to Lyon. The flight has 1h 30 delay for a flight duration of 1:30. Ground staff forced me to check-in my suitcase during boarding process due to lack of space in the plane and I got my suitcase damaged with 2 big cuts on the back. Then the customer service has been very useless. Such a very bad experience. I do not recommend flying with them., 17th November 2018,J Barvele ,France,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Lyon
Date FlownNovember 2018",n
1200,"""extremely nice and helpful """,  London to Boston. I was seated next to a customer who was needed an extra seat. The flight attendant was extremely nice and helpful and ensured I was comfortable throughout the flight. Superb Customer Service., 16th November 2018,T Neale ,United States,8,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon to Boston
Date FlownNovember 2018",y
1201,"""wonderful crew""", Stockholm to London. Standard configuration on short haul European flights. Business class still 3 seats each side of the isle. Middle seat fitted with a tray. Had a wonderful crew with 2 super professional stewards in business. Drinks served with a smile and the food also. Food reminding of what was served in economy 10 years ago when there still was free there. The best part of the meal was the cheese and pudding., 16th November 2018,29 reviewsA Marshall ,Sweden,5,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteStockholm to London
Date FlownNovember 2018",y
1202,"""I’m sure it’s bad luck""","  Amsterdam to London arrived 33 minutes late - three delays, taking off, landing, and getting the walkway to the airplane. This has happened twice this year. I fly KLM 90% of the time on this route and am delayed very rarely. I fly British on this route  when it is significantly cheaper but am delayed. I’m sure it’s bad luck but if you do better than double the flight time you are having a good day. ", 14th November 2018,C Porter ,Netherlands,1,"Type Of TravellerBusiness
Seat TypeEconomy Class
RouteAmsterdam to London
Date FlownNovember 2018",n
1203,"""plane seating is worn out""","  Buenos Aires to London. We flew overnight Friday 9th November. The plane seating is worn out and uncomfortable, there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish. The chicken dinner was described as Curry but there was no sauce on it. The bread roll was stale and dessert stodgy, During the night no water was offered to me. It was not possible to charge electronic equipment, the seatback screens were small with a limited choice of entertainment.", 12th November 2018,H Parker ,United Kingdom,1,"AircraftBoeing 777-200
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteBuenos Aires to London
Date FlownNovember 2018",n
1204,"""space is ridiculously narrow""","  Business Class space is ridiculously narrow. Service is very careless. You are not allowed laptops on the flight from Riyadh, so you cannot work if you want to. You cannot choose when to eat.", 10th November 2018,F Carini ,Saudi Arabia,1,"AircraftBoeing 777
Type Of TravellerBusiness
Seat TypeBusiness Class
RouteRiyadh to London
Date FlownNovember 2018",n
1205,"""not allowing me to add a bag""","  Aberdeen to Heathrow to connect to a flight in Gatwick the day after. During check-in using the BA app, there was a problem that I had to re-start, after that when I opened noted that the boarding pass was issued not allowing me to add a bag in the hold. After calling BA and explaining the situation was told that the option was to pay £65 at the airport desk. What a rip off for a short flight. By curiosity I checked with Easyjet and if I had booked with them for the same day would had cost me the same to fly as the money BA asked for the bag.", 6th November 2018,13 reviewsManuel Vieira ,United Kingdom,1,"AircraftA319
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteAberdeen to London
Date FlownNovember 2018",n
1206,"""would not recommend"""," I would not recommend this airline. I travel a lot for work and get to fly different airlines so have a good base to compare it to. Baggage Allowance: Only give you 23kgs of checked baggage and if you are 1 kg over (regardless if your other bags with your other travel companions are under) you have to pay $170AUD extra. This is the strictest airline I have ever used. All other airlines have allowed up to 5kgs over at no charge. Ensure you have pre-weighed all bags. In-flight meal: On the way to Sydney, they served soggy squashed sandwiches as a meal. It is an 8 hour flight! Make sure you pack your own snacks/meal. You don't get a bottle of water and they rarely serve drinks. Make sure you pre-pack a bottle or two once you are through customs. Customer service: From the get go the customer service was appalling. It is hard enough traveling with kids, but having to deal with BA was stressful. They wouldn't allow me to swap my ticket with my husband as we were traveling with my kids and I had a slight delay which meant I couldn't go on the same flight. At the airport, they couldn't find my children's booking which caused further delay and stress. How do you misplace 4 kids on the same booking? They then put my husband in a seat not with all of us and wouldn't do anything to help change this. We had to ask the person next to my kids once on the plane on our own. Don't bother flying BA.", 5th November 2018,U Davis ,Australia,1,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteSingapore to Sydney
Date FlownNovember 2018",n
1207,"""plane was clean, but cold""","  New York to Budapest via London. The second flight was a bit different. The plane was clean, but cold. I wanted to drink water, but the cabin crew does not accepted my request. By mistake the captain welcomed the passengers to Bucharest and not Budapest.", 4th November 2018,4 reviewsS Zalbo ,Hungary,3,"AircraftA320
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteLondon to Budapest
Date FlownNovember 2018",n
1208,"""sufficient seat legroom""","  Heathrow to Athens on A321. Arrived at the airport in time and bag drop was an ease. Got to the gate within 30mins of bag drop with light security queues. On the aircraft, there was sufficient seat legroom for my seat 7F.  A funny safety video played and the flight was smooth. No food was served, except some M&S, BBC news was playing on the screens, with no sound and Russian captions, quite confusing. The plane landed half an hour late, but it was the best landing I have ever experienced.", 2nd November 2018,S Marden ,United Kingdom,7,"AircraftA321
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Athens
Date FlownOctober 2018",y
1209,"""do not match expectations"""," London to Bangkok. I am not a fan if the BA configuration in Business. However I did have seat 2J so it was right up front. I am not sure where to begin. Food awful, I ordered beef (a showcase of British beef the notes said) that was inedible I left most of it. Instead of asking was something wrong or would I like another meal option, the FA took the tray away and asked if I wanted dessert. Wine 2 reds 2 whites and 2 champagnes - hardly a stellar wine list. Entertainment small screen with dreadful resolution and a very limited ordinary range of options. Staff challenged at best, clearly some had not been in business before. Disengaged and disinterested. The cabin was over hill for me. The toilet was not checked very often, a sweet wrapper remained on the toilet floor the entire trip as did an overflowing rubbish bin. I would expect much better up the front of the plane we pay a premium to be there and the service and overall product do not match expectations. ", 1st November 2018,T Smart ,Australia,4,"AircraftBoeing 777-200
Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteLondon to Bangkok
Date FlownOctober 2018",n
